HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.Tag1,Answer.Tag2,Approve,Reject
30U1YOGZGAMR4Z39KJTA5PU9FWMSDV,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:32:47 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:32:47 PST 2018,,,3JPSL1DZ5TPZCZ6MIFQO5E7DFX5AN4,AQS863BVGTZ14,Approved,Thu Nov 29 18:55:12 PST 2018,Thu Nov 29 18:55:15 PST 2018,Sun Dec 02 18:55:15 PST 2018,Thu Nov 29 21:32:06 PST 2018,,,3,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040874131816886272/pu/img/IAR9BHRjP2LPLKYh.jpg,flooding,4,,
31N9JPQXIP8B02G6YJVEXGZ1KP7HNH,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:27:35 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:27:35 PST 2018,,,32ZKVD547GDXR5I46A65RBTDSYYB3J,AQS863BVGTZ14,Approved,Thu Nov 29 17:48:39 PST 2018,Thu Nov 29 17:48:48 PST 2018,Sun Dec 02 17:48:48 PST 2018,Thu Nov 29 21:32:28 PST 2018,,,9,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040750069736263681/pu/img/ZFVcX86X1dmOIv7T.jpg,flooding,4,,
31S7M7DAGGGBHB4GM0WOY7Y0QO2LTT,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:27:40 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:27:40 PST 2018,,,3GFK2QRXXA7STN3JFKQUTM4IGV85WK,AQS863BVGTZ14,Approved,Thu Nov 29 18:59:28 PST 2018,Thu Nov 29 18:59:35 PST 2018,Sun Dec 02 18:59:35 PST 2018,Thu Nov 29 21:32:32 PST 2018,,,7,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040750395948232705/pu/img/CdGIck9JtbfypwMf.jpg,flooding,4,,
324N5FAHSX1FAXQN6VK2KP96Y9DKV5,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:31:50 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:31:50 PST 2018,,,3VD82FOHKRE5NZ3W38MSQYX65AVCON,AQS863BVGTZ14,Submitted,Thu Nov 29 18:49:30 PST 2018,Thu Nov 29 18:49:39 PST 2018,Sun Dec 02 18:49:39 PST 2018,,,,9,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040838995867885568/pu/img/aAGi2Fumhkq94teS.jpg,flooding,4,,
32XN26MTXZ9A127POY8EEWWVTD60LX,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:37:01 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:37:01 PST 2018,,,33IZTU6J82R8OP6K1LZOOGSH3HMSX2,AQS863BVGTZ14,Submitted,Thu Nov 29 19:55:53 PST 2018,Thu Nov 29 19:55:58 PST 2018,Sun Dec 02 19:55:58 PST 2018,,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1041525714275586049/pu/img/BXSytkKo9_1u971a.jpg,flooding,4,,
32ZCLEW0BZA7UTN92YBRDIKBXWDJPL,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:44:01 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:44:01 PST 2018,,,34S6N1K2ZW9OYMBFC8K198QSNXWLHP,A2WQBGVXH6S6EB,Submitted,Thu Nov 29 21:30:54 PST 2018,Thu Nov 29 21:31:08 PST 2018,Sun Dec 02 21:31:08 PST 2018,,,,14,98% (189/192),98% (189/192),98% (189/192),https://pbs.twimg.com/media/Dm_-PSkXcAAH1Y9.jpg,flooding,4,,
33N1S8XHHMBUDG9BZI3N0GQ3DEJZ1H,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:37:29 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:37:29 PST 2018,,,3FK0YFF9P06WCSITV13BBIF3MA8VV7,AQS863BVGTZ14,Submitted,Thu Nov 29 20:07:45 PST 2018,Thu Nov 29 20:07:49 PST 2018,Sun Dec 02 20:07:49 PST 2018,,,,4,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1041866308747325441/pu/img/UjJoOXc7dYCvVHD9.jpg,flooding,4,,
33TGB4G0LP76H5L50JZC91TNXXCTXN,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:38:03 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:38:03 PST 2018,,,3OXV7EAXLFGRLT19AJPXGV7LEXP63V,AQS863BVGTZ14,Submitted,Thu Nov 29 21:08:17 PST 2018,Thu Nov 29 21:08:23 PST 2018,Sun Dec 02 21:08:23 PST 2018,,,,6,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1042115367525605376/pu/img/pKQRarlD8tDbCQ4q.jpg,flooding,4,,
356TQKY9XFNT46NQF8KJO6KCHRC87I,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:21:35 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:21:35 PST 2018,,,3J2UYBXQQM2V412CRW7EEX9EBKG063,AQS863BVGTZ14,Approved,Sat Nov 24 16:46:34 PST 2018,Sat Nov 24 16:46:39 PST 2018,Tue Nov 27 16:46:39 PST 2018,2018-11-28 00:47:05 UTC,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040699584949964801/pu/img/zVI7iNjgldR5b0Dd.jpg,flooding,4,,
371DNNCG44SG24KXSBNKT2CU6O3T8F,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:35:29 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:35:29 PST 2018,,,39O5D9O87UIG1AAAKA202VZVAJZC3S,AQS863BVGTZ14,Submitted,Thu Nov 29 19:46:09 PST 2018,Thu Nov 29 19:46:14 PST 2018,Sun Dec 02 19:46:14 PST 2018,,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1041315320797978624/pu/img/GtrQ3SBQqg2Op_v-.jpg,flooding,4,,
